terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira;NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;Total -educacao infantil;Creche;Pré-Escola;Total - findamental;Anos Iniciais fundamental;Anos Finais -fundamental;Ensino Médio;Educação Profissional;Educação de Jovens e Adultos (EJA);Educação Especial
Buritizinho;Guarani Kaiowá;Sidrolândia;MS;9,7428;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MS;5007901.0;Sidrolândia;Urbana;92;93,3;89,4;92,4;92,6;90,7;97;80;92;93,3
Buritizinho;Guarani Kaiowá;Sidrolândia;MS;9,7428;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MS;5007901.0;Sidrolândia;Rural;85,7;88,9;85,7;91,3;89,3;93,4;86,6;--;70,4;--
Caarapó;Guarani Kaiowá;Caarapó;MS;3594,4154;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5002407.0;Caarapó;Total;89,6;96,3;88,8;88,5;84,9;92;93,4;--;100;100
Caarapó;Guarani Kaiowá;Caarapó;MS;3594,4154;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5002407.0;Caarapó;Urbana;95,6;96;95,9;97,2;99,3;95,2;93,8;--;100;100
Caarapó;Guarani Kaiowá;Caarapó;MS;3594,4154;Regularizada;Tradicionalmente ocupada;;Sim;2022;Centro-Oeste;MS;5002407.0;Caarapó;Rural;56,3;100;56,3;61,7;47,2;81;91,7;--;100;--
Cacau do Tarauaca;Kulina Páno;Envira;AM;28367,2948;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301506.0;Envira;Total;82,5;80;84,4;62,6;64,7;60,8;100;85,7;67,6;--
Cacau do Tarauaca;Kulina Páno;Envira;AM;28367,2948;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301506.0;Envira;Urbana;91,7;80;96,4;98;97,5;98,6;100;85,7;100;--
Cacau do Tarauaca;Kulina Páno;Envira;AM;28367,2948;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301506.0;Envira;Rural;0;--;0;13,9;15,1;12,7;--;--;0;--
Cachoeira dos Inácios;Guarani Mbya;Imaruí;SC;80;Regularizada;Reserva Indígena;;Não;2022;Sul;SC;4207205.0;Imaruí;Total;67,6;50;73,1;75,4;67,5;80,8;82,5;--;87,5;--
Cachoeira dos Inácios;Guarani Mbya;Imaruí;SC;80;Regularizada;Reserva Indígena;;Não;2022;Sul;SC;4207205.0;Imaruí;Urbana;88,2;71,4;91,7;82,5;68,4;85,2;87,5;--;87,5;--
Cachoeira dos Inácios;Guarani Mbya;Imaruí;SC;80;Regularizada;Reserva Indígena;;Não;2022;Sul;SC;4207205.0;Imaruí;Rural;47,1;20;57,1;72,2;67,2;78,4;80,9;--;--;--
Cachoeirinha;Terena;Miranda;MS;2658,1634;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MS;5005608.0;Miranda;Total;77,4;100;69,8;89,7;82,8;96,1;95,8;100;100;60
Cachoeirinha;Terena;Miranda;MS;2658,1634;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MS;5005608.0;Miranda;Urbana;93;100;88,9;98,6;97;100;99,1;--;100;60
Cachoeirinha;Terena;Miranda;MS;2658,1634;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MS;5005608.0;Miranda;Rural;44,4;--;44,4;73,5;62;87,3;89,7;100;100;--
Cachoeirinha;Terena;Miranda;MS;36288;Declarada;Tradicionalmente ocupada;Reestudo;Não;2022;Centro-Oeste;MS;5005608.0;Miranda;Total;77,4;100;69,8;89,7;82,8;96,1;95,8;100;100;60
Cachoeirinha;Terena;Miranda;MS;36288;Declarada;Tradicionalmente ocupada;Reestudo;Não;2022;Centro-Oeste;MS;5005608.0;Miranda;Urbana;93;100;88,9;98,6;97;100;99,1;--;100;60
Cachoeirinha;Terena;Miranda;MS;36288;Declarada;Tradicionalmente ocupada;Reestudo;Não;2022;Centro-Oeste;MS;5005608.0;Miranda;Rural;44,4;--;44,4;73,5;62;87,3;89,7;100;100;--
Caieiras Velha II;Guarani Mbya,Tupiniquim;Aracruz;ES;57,3935;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;ES;3200607.0;Aracruz;Total;98;98,7;98;96;94,8;96,6;99,3;88,5;100;--
Caieiras Velha II;Guarani Mbya,Tupiniquim;Aracruz;ES;57,3935;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;ES;3200607.0;Aracruz;Urbana;99,7;99,3;100;98,6;97,6;100;99,3;88,5;100;--
Caieiras Velha II;Guarani Mbya,Tupiniquim;Aracruz;ES;57,3935;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;ES;3200607.0;Aracruz;Rural;85,1;90,9;85,7;80,4;82,4;69;100;--;--;--
Caititu;Apurinã;Lábrea;AM;308062,6156;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302405.0;Lábrea;Total;67,9;62,5;71,8;60,3;56,2;64,3;98,2;100;71,2;--
